game_date,game_name,game_status,game_video,winner_name,second_name,winner_rank,second_rank,winner_score,second_score,winner_logo,second_logo
03/21/2021,SECOND ROUND,FINAL,/game/5774538,Syracuse,Syracuse,11,11,75,75,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774534,Arkansas,Texas Tech,3,6,68,66,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774539,Houston,Rutgers,2,10,63,60,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774535,Oral Roberts,Oral Roberts,15,15,81,81,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774533,Villanova,North Texas,5,13,84,61,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-texas.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774537,Oregon St.,Oregon St.,12,12,80,80,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774527,Oregon,Oregon,7,7,95,95,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774524,Gonzaga,Oklahoma,1,8,87,71,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774530,UCLA,Abilene Christian,11,14,67,47,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774525,Creighton,Ohio,5,13,72,58,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774528,Michigan,LSU,1,8,86,78,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774529,Florida St.,Colorado,4,5,71,53,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774531,Alabama,Maryland,2,10,96,77,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
03/22/2021,SECOND ROUND,FINAL,/game/5774526,Southern California,Southern California,6,6,85,85,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
03/27/2021,SWEET 16,FINAL,/game/5774546,Oregon St.,Oregon St.,12,12,65,65,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
03/27/2021,SWEET 16,FINAL,/game/5774544,Baylor,Villanova,1,5,62,51,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
03/27/2021,SWEET 16,FINAL,/game/5774545,Arkansas,Oral Roberts,3,15,72,70,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oral-roberts.svg
03/27/2021,SWEET 16,FINAL,/game/5774547,Houston,Syracuse,2,11,62,46,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
03/28/2021,SWEET 16,FINAL,/game/5774540,Gonzaga,Creighton,1,5,83,65,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg
03/28/2021,SWEET 16,FINAL,/game/5774542,Michigan,Florida St.,1,4,76,58,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
03/28/2021,SWEET 16,FINAL (OT),/game/5774543,UCLA,UCLA,11,11,88,88,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
03/28/2021,SWEET 16,FINAL,/game/5774541,Southern California,Oregon,6,7,82,68,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
03/29/2021,ELITE 8®,FINAL,/game/5774551,Houston,Oregon St.,2,12,67,61,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
03/29/2021,ELITE 8®,FINAL,/game/5774550,Baylor,Arkansas,1,3,81,72,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
03/30/2021,ELITE 8®,FINAL,/game/5774548,Gonzaga,Southern California,1,6,85,66,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
03/30/2021,ELITE 8®,FINAL,/game/5774549,UCLA,UCLA,11,11,51,51,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
04/03/2021,FINAL FOUR®,FINAL,/game/5774553,Baylor,Houston,1,2,78,59,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
04/03/2021,FINAL FOUR®,FINAL (OT),/game/5774552,Gonzaga,UCLA,1,11,93,90,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
04/05/2021,CHAMPIONSHIP,FINAL,/game/5774554,Baylor,Baylor,1,1,86,86,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg
